country,year,gdp_pc_usd,manufacturing_pct_gdp,resource_rents_pct_gdp,tertiary_enrolment_pct,gii_score,population_density,age1564_pct,log_gdp
AGO,2012,128052915766.343,4.40328953329052,5086.02740086376,8.90008020401001,22.2,20.1952306088073,52.110643381122,25.575709419862516
AGO,2013,132339109040.232,4.82734265180973,5057.74787833163,9.11637020111084,23.46,20.9879040667362,52.0969806945144,25.60863347315336
AGO,2014,135966802586.713,4.76307157240238,5005.9997412707,8.90008020401001,23.82,21.7861305847437,52.0696201188262,25.635676594258435
AGO,2015,90496420506.5957,5.68514480307257,3213.90261080059,8.68379020690918,26.2,22.5858650838213,52.0344151201028,25.228576134456766
AGO,2021,66505129987.7235,6.54051297580083,1925.87466082167,8.90008020401001,15.0,27.6990687414775,52.3460455098597,24.92054492430541
ALB,2011,12890760315.146,5.66189767373199,4437.14116097061,49.3997001647949,30.45,106.02901459854,67.8454159774467,23.279776637041287
ALB,2012,12319834195.331,4.61445771380938,4247.63134315945,58.6214218139648,30.4,105.854051094891,68.198600414295,23.23447633679004
ALB,2013,12776224496.9718,5.05980135594677,4413.06338346821,63.8440589904785,30.85,105.660291970803,68.3856722403311,23.270851819477738
ALB,2014,13228147516.1168,5.32578898520395,4578.63320812155,65.5507125854492,30.47,105.441751824818,68.4466928018412,23.30561278381182
ALB,2015,11386853113.0189,5.67151941669391,3952.80357364813,61.9608497619629,30.74,105.135145985401,68.4632957891861,23.15572529115878
ALB,2016,11861199830.8396,5.68442741798015,4124.05538986272,58.4884796142578,28.38,104.967189781022,68.473513186339,23.196538391574382
ALB,2017,13019726211.7369,6.15816688393972,4531.03220675893,58.0177803039551,28.86,104.870693430657,68.411252681582,23.28973144522132
ALB,2018,15379509891.7196,6.70811438467001,5365.48934672897,56.0802993774414,29.98,104.612262773723,68.2552118334715,23.456301933917953
ALB,2019,15585105131.0644,6.96748875847972,5460.42823730592,61.4085083007812,30.34,104.167554744526,68.0076096803147,23.469581495799964
ALB,2020,15241458744.8688,7.06941246497269,5370.77862312929,61.5853004455566,27.12,103.571131386861,67.7110196944345,23.447285100791465
ALB,2021,18032010563.7558,6.91828890492335,6413.28328605026,59.9698715209961,28.0,102.615547445255,67.3665631972931,23.6154143800775
ARE,2011,360832739558.385,8.14829315970101,50789.0505418347,56.16123580932615,41.99,100.035736412278,81.7491567206735,26.611680362587915
ARE,2012,384610125384.033,8.08503637670565,52034.4762466073,56.16123580932615,44.4,104.075584342439,81.7319747580354,26.67549599680611
ARE,2013,400218529747.597,7.92574426833549,52023.5170958751,56.16123580932615,41.87,108.322036046184,81.6884573970865,26.715276559242557
ARE,2014,414105366758.911,8.11529453740231,51381.4069909213,56.16123580932615,43.25,113.481272880879,81.6610900166076,26.749386287469278
ARE,2015,370275469560.166,9.1758933520037,43534.9972681733,56.16123580932615,40.06,119.75833568009,81.6642098864586,26.637513077897637
ARE,2016,369255326235.771,9.32746091059342,41326.4018161834,56.16123580932615,39.35,125.8109687412,81.7037621944191,26.634754182724475
ARE,2017,390516804016.501,9.38138082343735,42340.5917145576,56.16123580932615,43.24,129.867994931005,81.7573549214794,26.690736837352798
ARE,2018,427049432149.345,8.92578979482029,45689.8570040215,56.16123580932615,42.58,131.606603773585,81.7897488678028,26.780165609632366
ARE,2019,417989721734.494,8.86735310804829,44251.4541390148,56.5684204101562,42.17,133.001760067587,81.8226037478217,26.75872268001692
ARE,2020,349473015336.939,10.2917800360059,37173.8754100281,55.7540512084961,41.79,132.371698113208,81.8563407363944,26.579692186303113
