country,year,gii_score
AGO,2011,
AGO,2012,22.2
AGO,2013,23.46
AGO,2014,23.82
AGO,2015,26.2
AGO,2016,
AGO,2017,
AGO,2018,
AGO,2019,
AGO,2020,
AGO,2021,15.0
AGO,2022,13.9
AGO,2023,10.3
AGO,2024,10.2
ALB,2011,30.45
ALB,2012,30.4
ALB,2013,30.85
ALB,2014,30.47
ALB,2015,30.74
ALB,2016,28.38
ALB,2017,28.86
ALB,2018,29.98
ALB,2019,30.34
ALB,2020,27.12
ALB,2021,28.0
ALB,2022,24.4
ALB,2023,25.4
ALB,2024,24.5
ARE,2011,41.99
ARE,2012,44.4
ARE,2013,41.87
ARE,2014,43.25
ARE,2015,40.06
ARE,2016,39.35
ARE,2017,43.24
ARE,2018,42.58
ARE,2019,42.17
ARE,2020,41.79
ARE,2021,43.0
ARE,2022,42.1
ARE,2023,43.2
ARE,2024,42.8
ARG,2011,35.36
ARG,2012,34.4
ARG,2013,37.66
ARG,2014,35.13
ARG,2015,34.3
ARG,2016,30.24
ARG,2017,32.0
ARG,2018,30.65
ARG,2019,31.95
ARG,2020,28.33
ARG,2021,29.8
ARG,2022,28.6
ARG,2023,28.0
ARG,2024,26.4
ARM,2011,33.0
ARM,2012,34.5
ARM,2013,37.59
ARM,2014,36.06
ARM,2015,37.31
ARM,2016,35.14
ARM,2017,35.65
ARM,2018,32.81
ARM,2019,33.98
ARM,2020,32.64
ARM,2021,31.4
ARM,2022,26.6
ARM,2023,28.0
ARM,2024,29.0
AUS,2011,49.85
AUS,2012,51.9
AUS,2013,53.07
AUS,2014,55.01
AUS,2015,55.22
AUS,2016,53.07
AUS,2017,51.83
AUS,2018,51.98
AUS,2019,50.34
AUS,2020,48.35
AUS,2021,48.3
AUS,2022,47.1
AUS,2023,49.7
AUS,2024,48.1
AUT,2011,50.75
AUT,2012,53.1
AUT,2013,51.87
AUT,2014,53.41
AUT,2015,54.07
AUT,2016,52.65
AUT,2017,53.1
AUT,2018,51.32
AUT,2019,50.94
AUT,2020,50.13
AUT,2021,50.9
AUT,2022,50.2
AUT,2023,53.2
AUT,2024,50.3
AZE,2011,29.17
AZE,2012,30.4
AZE,2013,28.99
AZE,2014,29.6
AZE,2015,30.1
AZE,2016,29.64
AZE,2017,30.58
AZE,2018,30.2
AZE,2019,30.21
AZE,2020,27.23
AZE,2021,28.4
AZE,2022,21.5
AZE,2023,23.3
AZE,2024,21.3
BDI,2011,
BDI,2012,20.5
BDI,2013,
BDI,2014,22.43
BDI,2015,21.04
BDI,2016,20.93
BDI,2017,21.31
BDI,2018,
BDI,2019,17.65
BDI,2020,
BDI,2021,
BDI,2022,12.3
BDI,2023,12.5
BDI,2024,13.2
BEL,2011,49.05
BEL,2012,54.3
BEL,2013,52.49
BEL,2014,51.69
BEL,2015,50.91
BEL,2016,51.97
BEL,2017,49.85
BEL,2018,50.5
BEL,2019,50.18
BEL,2020,49.13
BEL,2021,49.2
BEL,2022,46.9
BEL,2023,49.9
BEL,2024,47.7
BEN,2011,23.81
BEN,2012,24.4
BEN,2013,25.1
BEN,2014,24.21
BEN,2015,
BEN,2016,22.25
BEN,2017,23.04
BEN,2018,20.61
BEN,2019,20.42
BEN,2020,18.13
BEN,2021,18.0
BEN,2022,14.6
BEN,2023,16.0
BEN,2024,15.4
BFA,2011,23.14
BFA,2012,24.6
BFA,2013,27.03
BFA,2014,28.18
BFA,2015,28.68
BFA,2016,21.05
BFA,2017,21.86
BFA,2018,18.95
BFA,2019,23.3
BFA,2020,20.0
BFA,2021,20.5
BFA,2022,15.3
BFA,2023,14.5
BFA,2024,12.8
BGD,2011,28.05
BGD,2012,26.1
BGD,2013,24.52
BGD,2014,24.35
BGD,2015,23.71
BGD,2016,22.86
BGD,2017,23.72
BGD,2018,23.06
BGD,2019,23.31
BGD,2020,20.39
BGD,2021,20.2
BGD,2022,19.7
BGD,2023,20.2
BGD,2024,19.1
BGR,2011,38.42
BGR,2012,40.7
BGR,2013,41.33
BGR,2014,40.74
BGR,2015,42.16
BGR,2016,41.42
BGR,2017,42.84
BGR,2018,42.65
BGR,2019,40.35
BGR,2020,39.98
BGR,2021,42.4
BGR,2022,39.5
BGR,2023,39.0
BGR,2024,38.5
BHR,2011,37.8
BHR,2012,41.1
BHR,2013,36.13
BHR,2014,36.26
BHR,2015,37.67
BHR,2016,35.48
BHR,2017,34.67
BHR,2018,31.73
BHR,2019,31.1
BHR,2020,28.37
BHR,2021,28.8
BHR,2022,28.0
BHR,2023,29.1
BHR,2024,27.6
BIH,2011,30.84
BIH,2012,34.2
BIH,2013,36.24
BIH,2014,32.43
BIH,2015,32.31
BIH,2016,29.62
BIH,2017,30.23
BIH,2018,31.09
BIH,2019,31.41
BIH,2020,28.99
BIH,2021,29.6
BIH,2022,28.5
BIH,2023,27.1
BIH,2024,25.5
BLR,2011,
BLR,2012,32.9
BLR,2013,34.62
BLR,2014,37.1
BLR,2015,38.23
BLR,2016,30.39
BLR,2017,29.98
BLR,2018,29.35
BLR,2019,32.07
BLR,2020,31.27
BLR,2021,32.6
BLR,2022,27.5
BLR,2023,26.8
BLR,2024,24.2
BLZ,2011,
BLZ,2012,32.5
BLZ,2013,29.98
BLZ,2014,
BLZ,2015,
BLZ,2016,
BLZ,2017,
BLZ,2018,
BLZ,2019,
BLZ,2020,
BLZ,2021,
BLZ,2022,
BLZ,2023,
BLZ,2024,
BOL,2011,25.44
BOL,2012,25.8
BOL,2013,30.48
BOL,2014,27.76
BOL,2015,28.58
BOL,2016,25.24
BOL,2017,25.64
BOL,2018,22.88
BOL,2019,24.76
BOL,2020,22.41
BOL,2021,23.4
BOL,2022,
BOL,2023,21.4
BOL,2024,20.2
BRA,2011,37.75
BRA,2012,36.6
BRA,2013,36.33
BRA,2014,36.29
BRA,2015,34.95
BRA,2016,33.19
BRA,2017,33.1
BRA,2018,33.44
BRA,2019,33.82
BRA,2020,31.94
BRA,2021,34.2
BRA,2022,32.5
BRA,2023,33.6
BRA,2024,32.7
BRB,2011,
BRB,2012,
BRB,2013,40.48
BRB,2014,40.78
BRB,2015,42.47
BRB,2016,
BRB,2017,
BRB,2018,
BRB,2019,
BRB,2020,
BRB,2021,
BRB,2022,
BRB,2023,
BRB,2024,26.1
BRN,2011,30.93
BRN,2012,37.7
BRN,2013,35.53
BRN,2014,31.67
BRN,2015,
BRN,2016,
BRN,2017,32.89
BRN,2018,32.84
BRN,2019,32.35
BRN,2020,29.82
BRN,2021,28.2
BRN,2022,22.2
BRN,2023,23.5
BRN,2024,22.8
BTN,2011,
BTN,2012,
BTN,2013,
BTN,2014,31.83
BTN,2015,26.06
BTN,2016,27.88
BTN,2017,
BTN,2018,
BTN,2019,
BTN,2020,
BTN,2021,
BTN,2022,
BTN,2023,
BTN,2024,
BWA,2011,30.51
BWA,2012,31.4
BWA,2013,31.14
BWA,2014,30.87
BWA,2015,30.49
BWA,2016,28.96
BWA,2017,29.97
BWA,2018,28.16
BWA,2019,27.43
BWA,2020,25.43
BWA,2021,22.9
BWA,2022,23.9
BWA,2023,24.6
BWA,2024,23.1
CAN,2011,56.33
CAN,2012,56.9
CAN,2013,57.6
CAN,2014,56.13
CAN,2015,55.73
CAN,2016,54.71
CAN,2017,53.65
CAN,2018,52.98
CAN,2019,53.88
CAN,2020,52.26
CAN,2021,53.1
CAN,2022,50.8
CAN,2023,53.8
CAN,2024,52.9
CHE,2011,63.82
CHE,2012,68.2
CHE,2013,66.59
CHE,2014,64.78
CHE,2015,68.3
CHE,2016,66.28
CHE,2017,67.69
CHE,2018,68.4
CHE,2019,67.24
CHE,2020,66.08
CHE,2021,65.5
CHE,2022,64.6
CHE,2023,67.6
CHE,2024,67.5
CHL,2011,38.84
CHL,2012,42.7
CHL,2013,40.58
CHL,2014,40.64
CHL,2015,41.2
CHL,2016,38.41
CHL,2017,38.7
CHL,2018,37.79
CHL,2019,36.64
CHL,2020,33.86
CHL,2021,35.1
CHL,2022,34.0
CHL,2023,33.3
CHL,2024,32.6
CHN,2011,46.43
CHN,2012,45.4
CHN,2013,44.66
CHN,2014,46.57
CHN,2015,47.47
CHN,2016,50.57
CHN,2017,52.54
CHN,2018,53.06
CHN,2019,54.82
CHN,2020,53.28
CHN,2021,54.8
CHN,2022,55.3
CHN,2023,55.3
CHN,2024,56.3
CIV,2011,24.08
CIV,2012,22.6
CIV,2013,23.42
CIV,2014,27.02
CIV,2015,27.16
CIV,2016,25.8
CIV,2017,23.96
CIV,2018,19.96
CIV,2019,25.55
CIV,2020,21.24
CIV,2021,21.0
CIV,2022,17.8
CIV,2023,18.2
CIV,2024,17.5
CMR,2011,26.95
CMR,2012,25.0
CMR,2013,25.71
CMR,2014,27.52
CMR,2015,27.8
CMR,2016,22.82
CMR,2017,22.58
CMR,2018,23.85
CMR,2019,23.9
CMR,2020,19.98
CMR,2021,19.7
CMR,2022,15.1
CMR,2023,15.3
CMR,2024,14.4
COL,2011,32.32
COL,2012,35.5
COL,2013,37.38
COL,2014,35.5
COL,2015,36.41
COL,2016,34.16
COL,2017,34.78
COL,2018,33.78
COL,2019,33.0
COL,2020,30.84
COL,2021,31.7
COL,2022,29.2
COL,2023,29.4
COL,2024,29.2
CPV,2011,
CPV,2012,
CPV,2013,29.69
CPV,2014,30.09
CPV,2015,28.59
CPV,2016,
CPV,2017,
CPV,2018,
CPV,2019,
CPV,2020,23.86
CPV,2021,25.7
CPV,2022,
CPV,2023,23.3
CPV,2024,22.3
CRI,2011,37.91
CRI,2012,36.3
CRI,2013,41.54
CRI,2014,37.3
CRI,2015,38.59
CRI,2016,38.4
CRI,2017,37.09
CRI,2018,35.72
CRI,2019,36.13
CRI,2020,33.51
CRI,2021,34.5
CRI,2022,28.7
CRI,2023,27.9
CRI,2024,28.3
CYP,2011,46.45
CYP,2012,47.9
CYP,2013,49.32
CYP,2014,45.82
CYP,2015,43.51
CYP,2016,46.34
CYP,2017,46.84
CYP,2018,47.83
CYP,2019,48.34
CYP,2020,45.67
CYP,2021,46.7
CYP,2022,46.2
CYP,2023,46.3
CYP,2024,45.1
CZE,2011,47.3
CZE,2012,49.7
CZE,2013,48.36
CZE,2014,50.22
CZE,2015,51.32
CZE,2016,49.4
CZE,2017,50.98
CZE,2018,48.75
CZE,2019,49.43
CZE,2020,48.34
CZE,2021,49.0
CZE,2022,42.8
CZE,2023,44.8
CZE,2024,44.0
DEU,2011,54.89
DEU,2012,56.2
DEU,2013,55.83
DEU,2014,56.02
DEU,2015,57.05
DEU,2016,57.94
DEU,2017,58.39
DEU,2018,58.03
DEU,2019,58.19
DEU,2020,56.55
DEU,2021,57.3
DEU,2022,57.2
DEU,2023,58.8
DEU,2024,58.1
DNK,2011,56.96
DNK,2012,59.9
DNK,2013,58.34
DNK,2014,57.52
DNK,2015,57.7
DNK,2016,58.45
DNK,2017,58.7
DNK,2018,58.39
DNK,2019,58.44
DNK,2020,57.53
DNK,2021,57.3
DNK,2022,55.9
DNK,2023,58.7
DNK,2024,57.1
DOM,2011,
DOM,2012,30.9
DOM,2013,33.28
DOM,2014,32.29
DOM,2015,30.6
DOM,2016,30.55
DOM,2017,31.17
