country,year,gdp_pc_usd
ABW,2011,2637859217.87709
ABW,2012,2615208379.88827
ABW,2013,2727849720.67039
ABW,2014,2790849720.67039
ABW,2015,2962907262.56983
ABW,2016,2983635195.53073
ABW,2017,3092429050.27933
ABW,2018,3276184357.5419
ABW,2019,3395798882.68156
ABW,2020,2481857122.8401
ABW,2021,2929446578.25104
AFG,2011,17805098206.3141
AFG,2012,19907329777.5872
AFG,2013,20146416757.5987
AFG,2014,20497128555.6972
AFG,2015,19134221644.7325
AFG,2016,18116572395.0772
AFG,2017,18753456497.8159
AFG,2018,18053222687.4126
AFG,2019,18799444490.1128
AFG,2020,19955929052.1496
AFG,2021,14259995441.0759
AGO,2011,111789747670.59
AGO,2012,128052915766.343
AGO,2013,132339109040.232
AGO,2014,135966802586.713
AGO,2015,90496420506.5957
AGO,2016,52761617225.9253
AGO,2017,73690154990.7312
AGO,2018,79450688259.3664
AGO,2019,70897962732.0277
AGO,2020,48501561203.5686
AGO,2021,66505129987.7235
ALB,2011,12890760315.146
ALB,2012,12319834195.331
ALB,2013,12776224496.9718
ALB,2014,13228147516.1168
ALB,2015,11386853113.0189
ALB,2016,11861199830.8396
ALB,2017,13019726211.7369
ALB,2018,15379509891.7196
ALB,2019,15585105131.0644
ALB,2020,15241458744.8688
ALB,2021,18032010563.7558
AND,2011,3629133574.27783
AND,2012,3188652765.36184
AND,2013,3193512950.02419
AND,2014,3271685596.66321
AND,2015,2789881258.50362
AND,2016,2896610479.73077
AND,2017,3000162081.11976
AND,2018,3218419896.9641
AND,2019,3155149347.80639
AND,2020,2891001149.3611
AND,2021,3324647529.381
ARE,2011,360832739558.385
ARE,2012,384610125384.033
ARE,2013,400218529747.597
ARE,2014,414105366758.911
ARE,2015,370275469560.166
ARE,2016,369255326235.771
ARE,2017,390516804016.501
ARE,2018,427049432149.345
ARE,2019,417989721734.494
ARE,2020,349473015336.939
ARE,2021,415178792769.884
ARG,2011,530158122010.442
ARG,2012,545982375701.128
ARG,2013,552025140252.246
ARG,2014,526319673731.638
ARG,2015,594749285413.212
ARG,2016,557532320662.955
ARG,2017,643628393281.364
ARG,2018,524819892360.176
ARG,2019,447754683615.225
ARG,2020,385740508436.965
ARG,2021,486564085480.036
ARM,2011,10142111824.5835
ARM,2012,10619320682.9474
ARM,2013,11121464437.0415
ARM,2014,11609513246.7958
ARM,2015,10553337518.414
ARM,2016,10546136235.5219
ARM,2017,11527458709.0158
ARM,2018,12457940694.7395
ARM,2019,13619290539.2116
ARM,2020,12641698583.2152
ARM,2021,13878908628.9378
ASM,2011,570000000.0
ASM,2012,640000000.0
ASM,2013,638000000.0
ASM,2014,643000000.0
ASM,2015,673000000.0
ASM,2016,671000000.0
ASM,2017,612000000.0
ASM,2018,639000000.0
ASM,2019,647000000.0
ASM,2020,721000000.0
ASM,2021,750000000.0
ATG,2011,1281337037.03704
ATG,2012,1327107407.40741
ATG,2013,1325425925.92593
ATG,2014,1378829629.62963
ATG,2015,1437755555.55556
ATG,2016,1489692592.59259
ATG,2017,1531151851.85185
ATG,2018,1661529629.62963
ATG,2019,1725351851.85185
ATG,2020,1410796296.2963
ATG,2021,1601366666.66667
AUS,2011,1398610616772.97
AUS,2012,1547532281116.4
AUS,2013,1577123329410.88
AUS,2014,1468265356427.76
AUS,2015,1351296372254.31
AUS,2016,1206836962281.84
AUS,2017,1325582658156.54
AUS,2018,1427809041019.44
AUS,2019,1392723834562.64
AUS,2020,1328414058378.38
AUS,2021,1556735770437.26
AUT,2011,428954737064.057
AUT,2012,406750487603.59
AUT,2013,426580502769.417
AUT,2014,438556021078.034
AUT,2015,379546097300.633
AUT,2016,393687359770.273
AUT,2017,414926138132.691
AUT,2018,452582294972.775
AUT,2019,442983642371.842
AUT,2020,434397601557.696
AUT,2021,480467037338.783
AZE,2011,65952796427.9473
AZE,2012,69679944504.1972
AZE,2013,74160560123.6902
AZE,2014,75239785452.1022
AZE,2015,53076235354.746
AZE,2016,37866996882.9157
AZE,2017,40866627351.9817
AZE,2018,47112470051.7701
AZE,2019,48174235294.1176
AZE,2020,42693000000.0
AZE,2021,54825411764.7059
BDI,2011,2235820809.32006
BDI,2012,2333341334.45753
BDI,2013,2451606632.29246
BDI,2014,2705783329.80483
BDI,2015,3104003546.26497
BDI,2016,2644487776.50077
BDI,2017,2723586962.84034
BDI,2018,2667182199.51333
BDI,2019,2576518879.82353
BDI,2020,2649680261.44299
BDI,2021,2775798697.46022
BEL,2011,527196649048.639
BEL,2012,498414364944.961
BEL,2013,524097026598.55
BEL,2014,537987419164.351
BEL,2015,461044767544.531
BEL,2016,474271566739.729
BEL,2017,500908767351.53
BEL,2018,542638913427.921
BEL,2019,536726344405.489
BEL,2020,529694473501.791
BEL,2021,598494036474.409
BEN,2011,10693321370.036
BEN,2012,11141358105.9853
BEN,2013,12517845127.6775
BEN,2014,13284527850.2632
BEN,2015,11388160997.1089
BEN,2016,11821065852.1271
BEN,2017,12701655845.9612
BEN,2018,14262408079.7014
BEN,2019,14391686309.033
BEN,2020,15651545208.8783
BEN,2021,17690083519.9323
BFA,2011,12080295977.5632
BFA,2012,12561015156.5683
BFA,2013,13444300485.8412
BFA,2014,13943016076.7436
BFA,2015,11832159315.6298
BFA,2016,12833363045.3367
BFA,2017,14106955615.3442
BFA,2018,15890066221.2882
BFA,2019,16032813503.3707
BFA,2020,17725010532.5268
BFA,2021,19697516284.3787
BGD,2011,128607482310.357
BGD,2012,133310747603.483
BGD,2013,149998957434.186
BGD,2014,172886611653.786
BGD,2015,195146608978.131
BGD,2016,265224515675.034
BGD,2017,293732446624.596
BGD,2018,321362752441.78
BGD,2019,351231654603.692
BGD,2020,373979442362.193
BGD,2021,416271647911.014
BGR,2011,57737040780.0157
BGR,2012,54288135058.7926
BGR,2013,55852123989.9504
BGR,2014,57157782909.9307
BGR,2015,50811995688.6771
BGR,2016,53964253211.84
BGR,2017,59309748166.1179
BGR,2018,66289266348.6504
BGR,2019,68631726289.2794
BGR,2020,70716821234.5967
BGR,2021,84417951260.8091
BHR,2011,29914680851.0638
BHR,2012,31963404255.3191
BHR,2013,33823324468.0851
BHR,2014,34772526595.7447
BHR,2015,32523297872.3404
BHR,2016,33884680851.0638
BHR,2017,37204813829.7872
BHR,2018,39567978723.4043
BHR,2019,40446808510.6383
BHR,2020,35837632978.7234
BHR,2021,40840212765.9574
BHS,2011,10070450000.0
BHS,2012,10720400000.0
BHS,2013,10395800000.0
BHS,2014,10974100000.0
BHS,2015,11671900000.0
BHS,2016,11745100000.0
BHS,2017,12236700000.0
BHS,2018,12615800000.0
BHS,2019,13016200000.0
BHS,2020,9958200000.0
BHS,2021,11368900000.0
BIH,2011,18644233537.1093
BIH,2012,17226735995.6905
BIH,2013,18179108530.5261
BIH,2014,18558733564.4692
BIH,2015,16404348871.4437
BIH,2016,17116926327.6247
BIH,2017,18326373366.1105
BIH,2018,20484053868.9246
BIH,2019,20482608755.379
BIH,2020,20226036564.4129
BIH,2021,23672712242.2149
BLR,2011,61762382327.9319
BLR,2012,65685890438.8922
BLR,2013,75527558966.4473
BLR,2014,78812805039.0743
BLR,2015,56454889146.6088
BLR,2016,47723545321.259
BLR,2017,54725302249.8088
BLR,2018,60031173807.7196
BLR,2019,64410122847.3508
BLR,2020,61371755326.2351
BLR,2021,69673747131.87
BLZ,2011,1827050000.0
BLZ,2012,1909400000.0
BLZ,2013,2032750000.0
BLZ,2014,2138250000.0
BLZ,2015,2193050000.0
BLZ,2016,2240200000.0
BLZ,2017,2266300000.0
BLZ,2018,2293250000.0
BLZ,2019,2388300000.0
BLZ,2020,2042850000.0
BLZ,2021,2420550000.0
BMU,2011,6312691000.0
BMU,2012,6378188000.0
BMU,2013,6465756000.0
BMU,2014,6413988000.0
BMU,2015,6654541000.0
BMU,2016,6899911000.0
BMU,2017,7142316000.0
BMU,2018,7225977000.0
BMU,2019,7423465000.0
BMU,2020,6887147000.0
BMU,2021,7286607000.0
BOL,2011,23963164696.592
BOL,2012,27084497481.9103
BOL,2013,30659338885.6729
BOL,2014,32996188012.5599
BOL,2015,33000198248.1292
BOL,2016,33941126200.0606
BOL,2017,37508642165.3366
BOL,2018,40287647930.4761
BOL,2019,40895322843.7851
BOL,2020,36629843805.0216
BOL,2021,40406111695.179
BRA,2011,2616156223977.47
BRA,2012,2465227803011.57
BRA,2013,2472819535742.73
BRA,2014,2456043727198.85
BRA,2015,1802212206904.68
BRA,2016,1795693482652.52
BRA,2017,2063514977334.32
BRA,2018,1916933898038.36
BRA,2019,1873288205186.45
BRA,2020,1476107231194.11
BRA,2021,1670647399034.67
BRB,2011,5342183800.0
BRB,2012,5271257500.0
BRB,2013,5361158350.0
BRB,2014,5365976700.0
BRB,2015,5288057750.0
BRB,2016,5330761500.0
BRB,2017,5517340450.0
BRB,2018,5629916200.0
BRB,2019,5788288000.0
BRB,2020,5168344450.0
BRB,2021,5275242050.0
BRN,2011,18524791070.6802
BRN,2012,19048443339.9457
BRN,2013,18094148099.4922
BRN,2014,17097797371.9718
BRN,2015,12930296852.4882
BRN,2016,11400266055.3232
BRN,2017,12128168046.7827
