country,year,population_density
ABW,2011,569.95
ABW,2012,578.388888888889
ABW,2013,587.083333333333
ABW,2014,593.372222222222
ABW,2015,599.477777777778
ABW,2016,604.038888888889
ABW,2017,604.083333333333
ABW,2018,605.044444444444
ABW,2019,606.683333333333
ABW,2020,603.261111111111
ABW,2021,598.333333333333
AFG,2011,44.9959492816951
AFG,2012,46.8546892967205
AFG,2013,48.4839765113534
AFG,2014,50.2775447311531
AFG,2015,51.8709105683578
AFG,2016,53.2030296061205
AFG,2017,54.7183278904681
AFG,2018,56.3344817012404
AFG,2019,58.0410606687825
AFG,2020,59.9006163469942
AFG,2021,61.3286907992579
AGO,2011,19.4259661506377
AGO,2012,20.1952306088073
AGO,2013,20.9879040667362
AGO,2014,21.7861305847437
AGO,2015,22.5858650838213
AGO,2016,23.4082537900056
AGO,2017,24.2518962059838
AGO,2018,25.1039985561883
AGO,2019,25.969063928772
AGO,2020,26.8317413972888
AGO,2021,27.6990687414775
ALB,2011,106.02901459854
ALB,2012,105.854051094891
ALB,2013,105.660291970803
ALB,2014,105.441751824818
ALB,2015,105.135145985401
ALB,2016,104.967189781022
ALB,2017,104.870693430657
ALB,2018,104.612262773723
ALB,2019,104.167554744526
ALB,2020,103.571131386861
ALB,2021,102.615547445255
AND,2011,165.495744680851
AND,2012,163.476595744681
AND,2013,159.987234042553
AND,2014,156.887234042553
AND,2015,153.56170212766
AND,2016,153.576595744681
AND,2017,156.942553191489
AND,2018,159.91914893617
AND,2019,162.710638297872
AND,2020,164.63829787234
AND,2021,166.731914893617
ARE,2011,100.035736412278
ARE,2012,104.075584342439
ARE,2013,108.322036046184
ARE,2014,113.481272880879
ARE,2015,119.75833568009
ARE,2016,125.8109687412
ARE,2017,129.867994931005
ARE,2018,131.606603773585
ARE,2019,133.001760067587
ARE,2020,132.371698113208
ARE,2021,134.823317375387
ARG,2011,15.2485886234831
ARG,2012,15.4061004351973
ARG,2013,15.5598387102668
ARG,2014,15.7212073709481
ARG,2015,15.8867142423877
ARG,2016,16.0413905118958
ARG,2017,16.1833799224611
ARG,2018,16.3171137395905
ARG,2019,16.4335255363231
ARG,2020,16.5133665121004
ARG,2021,16.5573305708721
ARM,2011,106.354056902002
ARM,2012,106.220583069898
ARM,2013,106.146821215314
ARM,2014,105.858798735511
ARM,2015,105.535651563049
ARM,2016,105.103617843344
ARM,2017,104.650509308044
ARM,2018,104.285212504391
ARM,2019,104.056902002107
ARM,2020,104.021777309449
ARM,2021,104.049877063576
ASM,2011,274.475
ASM,2012,272.445
ASM,2013,270.03
ASM,2014,267.33
ASM,2015,264.39
ASM,2016,261.225
ASM,2017,257.93
ASM,2018,254.54
ASM,2019,251.045
ASM,2020,248.805
ASM,2021,246.125
ATG,2011,196.209090909091
ATG,2012,198.318181818182
ATG,2013,200.145454545455
ATG,2014,201.738636363636
ATG,2015,203.202272727273
ATG,2016,204.475
ATG,2017,205.609090909091
ATG,2018,206.65
ATG,2019,207.645454545455
ATG,2020,208.740909090909
ATG,2021,209.884090909091
AUS,2011,2.90798641031983
AUS,2012,2.95920036968095
AUS,2013,3.01057352615753
AUS,2014,3.05581479504836
AUS,2015,3.10011259648803
AUS,2016,3.14493553058884
AUS,2017,3.19715601363491
AUS,2018,3.24534491589985
AUS,2019,3.29365056253104
AUS,2020,3.33452695130798
AUS,2021,3.33922844714392
AUT,2011,101.692232186137
AUT,2012,102.156943771207
AUT,2013,102.760821619001
AUT,2014,103.567086766844
AUT,2015,104.734597673291
AUT,2016,105.873339796413
AUT,2017,106.61131846825
AUT,2018,107.131858943286
AUT,2019,107.609306834707
AUT,2020,108.057004362579
AUT,2021,108.528805138148
AZE,2011,110.976336228798
AZE,2012,112.460790244138
AZE,2013,113.923480806688
AZE,2014,115.348813858679
AZE,2015,116.731076781631
AZE,2016,118.033288980283
AZE,2017,119.208741622511
AZE,2018,120.25759188908
AZE,2019,121.280071139933
AZE,2020,122.124736829369
AZE,2021,122.658802177858
BDI,2011,378.425934579439
BDI,2012,392.173987538941
BDI,2013,406.516394080997
BDI,2014,420.552375389408
BDI,2015,430.201713395639
BDI,2016,437.673325545171
BDI,2017,448.082632398754
BDI,2018,461.816433021807
BDI,2019,477.232710280374
BDI,2020,491.317601246106
BDI,2021,504.886331775701
BEL,2011,363.902812118814
BEL,2012,366.166617215574
BEL,2013,367.896581281113
BEL,2014,369.533412455082
BEL,2015,371.680875614018
BEL,2016,373.567467774371
BEL,2017,375.009329772855
BEL,2018,374.74351490506
BEL,2019,376.761985964452
BEL,2020,378.38932248967
BEL,2021,379.949990161999
BEN,2011,89.5142160340546
BEN,2012,92.2105090457609
BEN,2013,94.9701489890032
BEN,2014,97.8184107839659
BEN,2015,100.750984391628
BEN,2016,103.741060659808
BEN,2017,106.773501241575
BEN,2018,109.820388435615
BEN,2019,112.865865555161
BEN,2020,115.911395885066
BEN,2021,118.955454061724
BFA,2011,60.8987865497076
BFA,2012,62.764206871345
BFA,2013,64.6762024853801
BFA,2014,66.6281469298246
BFA,2015,68.6311659356725
BFA,2016,70.6683333333333
BFA,2017,72.713475877193
BFA,2018,74.7013450292398
BFA,2019,76.6153216374269
BFA,2020,78.5039839181287
BFA,2021,80.3919700292398
BGD,2011,1179.92683413997
BGD,2012,1191.28909118845
BGD,2013,1202.52086502266
BGD,2014,1213.52791733886
BGD,2015,1224.42328493508
BGD,2016,1235.3993393255
BGD,2017,1245.95641852962
BGD,2018,1256.22726434662
BGD,2019,1266.90523930245
BGD,2020,1277.54493354844
BGD,2021,1287.99918568026
BGR,2011,67.6890935887988
BGR,2012,67.2981577008106
BGR,2013,66.922577376566
BGR,2014,66.5432756079587
BGR,2015,66.1200350036846
BGR,2016,65.6579034635225
BGR,2017,65.1800571112749
BGR,2018,64.7110998526161
BGR,2019,64.2571941783346
BGR,2020,63.8726510685335
BGR,2021,63.3543017686072
BHR,2011,1558.0443285528
BHR,2012,1570.08311688312
BHR,2013,1627.52077922078
BHR,2014,1705.00907911803
BHR,2015,1761.33933161954
BHR,2016,1827.63286264442
BHR,2017,1924.50769230769
BHR,2018,1931.99357326478
BHR,2019,1902.25128205128
BHR,2020,1875.41910828025
BHR,2021,1904.25949367089
BHS,2011,37.1357642357642
BHS,2012,37.5093906093906
BHS,2013,37.8574425574426
BHS,2014,38.1916083916084
BHS,2015,38.4961038961039
BHS,2016,38.7667332667333
BHS,2017,39.0094905094905
BHS,2018,39.2324675324675
BHS,2019,39.4280719280719
BHS,2020,39.5467532467532
BHS,2021,39.5977022977023
BIH,2011,73.0819921875
BIH,2012,71.68189453125
BIH,2013,70.52458984375
BIH,2014,69.62556640625
BIH,2015,68.72150390625
BIH,2016,67.83208984375
BIH,2017,66.9664453125
BIH,2018,66.15234375
BIH,2019,65.34244140625
BIH,2020,64.44041015625
BIH,2021,63.37708984375
BLR,2011,46.6297521068454
BLR,2012,46.5593029044007
BLR,2013,46.5393725235082
BLR,2014,46.5506003261518
BLR,2015,46.611337189252
BLR,2016,46.6499448243246
BLR,2017,46.5987595325832
BLR,2018,46.5010592176569
BLR,2019,46.4107506220284
BLR,2020,46.211212927382
BLR,2021,45.8368317319537
BLZ,2011,14.3488820692679
BLZ,2012,14.6608505041648
BLZ,2013,14.977071459886
BLZ,2014,15.2969311705392
BLZ,2015,15.6217886891714
BLZ,2016,15.9888206926786
BLZ,2017,16.3613327487944
BLZ,2018,16.6692678649715
BLZ,2019,16.9149057430951
BLZ,2020,17.1333625602806
BLZ,2021,17.3321350284963
BMU,2011,1180.24074074074
BMU,2012,1178.62962962963
BMU,2013,1177.2962962963
BMU,2014,1176.46296296296
BMU,2015,1175.25925925926
BMU,2016,1174.98148148148
BMU,2017,1177.37037037037
BMU,2018,1182.05555555556
BMU,2019,1187.16666666667
BMU,2020,1192.25925925926
BMU,2021,1197.18518518519
BOL,2011,9.55315148158405
BOL,2012,9.7071974522293
BOL,2013,9.86117234376442
BOL,2014,10.0146662974245
BOL,2015,10.1677328533186
BOL,2016,10.3203360103388
BOL,2017,10.4722486845749
BOL,2018,10.6234357980246
BOL,2019,10.7739185821102
BOL,2020,10.9076885442629
BOL,2021,11.0194405981723
BRA,2011,23.3646162902273
BRA,2012,23.555014752086
BRA,2013,23.7467066835444
BRA,2014,23.93895376244
BRA,2015,24.1292359304821
BRA,2016,24.3137963709629
BRA,2017,24.4915070817191
BRA,2018,24.659465024515
BRA,2019,24.8207686159839
BRA,2020,24.9649852718428
BRA,2021,25.0714027283582
BRB,2011,642.183720930233
BRB,2012,644.041860465116
BRB,2013,645.732558139535
BRB,2014,647.320930232558
BRB,2015,648.813953488372
BRB,2016,650.227906976744
BRB,2017,651.560465116279
BRB,2018,652.816279069767
BRB,2019,653.96976744186
BRB,2020,655.111627906977
BRB,2021,656.155813953488
BRN,2011,75.7853889943074
BRN,2012,76.9557874762808
BRN,2013,78.026944971537
BRN,2014,79.0796963946869
BRN,2015,80.1161290322581
BRN,2016,81.1316888045541
BRN,2017,82.1199240986717
BRN,2018,83.0759013282732
BRN,2019,84.0
BRN,2020,84.896394686907
BRN,2021,85.715559772296
BTN,2011,18.6105149933101
BTN,2012,18.8178240680012
BTN,2013,19.0275467639111
BTN,2014,19.2339113781252
BTN,2015,19.4301230422121
BTN,2016,19.6063863255034
BTN,2017,19.7759804949664
BTN,2018,19.920267435763
BTN,2019,20.0530676455165
BTN,2020,20.1889355007866
BTN,2021,20.3314630309386
BWA,2011,3.65877049035696
BWA,2012,3.72067298360771
BWA,2013,3.77725195419335
BWA,2014,3.83259047518219
