country,year,resource_rents_pct_gdp
ABW,2011,25712.3843015186
ABW,2012,25119.6655449838
ABW,2013,25813.5767274227
ABW,2014,26129.8390617693
ABW,2015,27458.2253310273
ABW,2016,27441.5296617282
ABW,2017,28440.051963759
ABW,2018,30082.1276448186
ABW,2019,31096.2050738676
ABW,2020,22855.9323200761
ABW,2021,27200.0610793969
AFG,2011,606.694676337726
AFG,2012,651.417134470046
AFG,2013,637.087099117099
AFG,2014,625.054941813938
AFG,2015,565.569730408751
AFG,2016,522.082215583898
AFG,2017,525.469770891619
AFG,2018,491.337221382603
AFG,2019,496.6025042585
AFG,2020,510.787063366811
AFG,2021,356.496214115892
AGO,2011,4615.91059831778
AGO,2012,5086.02740086376
AGO,2013,5057.74787833163
AGO,2014,5005.9997412707
AGO,2015,3213.90261080059
AGO,2016,1807.95294072643
AGO,2017,2437.25971190821
AGO,2018,2538.59139143371
AGO,2019,2189.85571407618
AGO,2020,1449.92286669308
AGO,2021,1925.87466082167
ALB,2011,4437.14116097061
ALB,2012,4247.63134315945
ALB,2013,4413.06338346821
ALB,2014,4578.63320812155
ALB,2015,3952.80357364813
ALB,2016,4124.05538986272
ALB,2017,4531.03220675893
ALB,2018,5365.48934672897
ALB,2019,5460.42823730592
ALB,2020,5370.77862312929
ALB,2021,6413.28328605026
AND,2011,46657.1561173756
AND,2012,41500.5435791686
AND,2013,42470.3161159692
AND,2014,44369.659691379
AND,2015,38654.9347203095
AND,2016,40129.8192007698
AND,2017,40672.9943348258
AND,2018,42819.7745797624
AND,2019,41257.8045846483
AND,2020,37361.0900666982
AND,2021,42425.6996756291
ARE,2011,50789.0505418347
ARE,2012,52034.4762466073
ARE,2013,52023.5170958751
ARE,2014,51381.4069909213
ARE,2015,43534.9972681733
ARE,2016,41326.4018161834
ARE,2017,42340.5917145576
ARE,2018,45689.8570040215
ARE,2019,44251.4541390148
ARE,2020,37173.8754100281
ARE,2021,43360.0211014806
ARG,2011,12704.2831819684
ARG,2012,12949.717486654
ARG,2013,12963.675773326
ARG,2014,12233.1444119186
ARG,2015,13679.6264980954
ARG,2016,12699.9623137756
ARG,2017,14532.5009308511
ARG,2018,11752.7998922979
ARG,2019,9955.97478680428
ARG,2020,8535.59938004389
ARG,2021,10738.0179223384
ARM,2011,3349.55309771906
ARM,2012,3511.56399687426
ARM,2013,3680.16692158886
ARM,2014,3852.11800610384
ARM,2015,3512.39350276709
ARM,2016,3524.42476874707
ARM,2017,3869.05373867752
ARM,2018,4196.00562301769
ARM,2019,4597.22887399548
ARM,2020,4268.68093304583
ARM,2021,4685.17997128509
ASM,2011,10383.459331451
ASM,2012,11745.4899153958
ASM,2013,11813.5022034589
ASM,2014,12026.3344929488
ASM,2015,12727.4102651386
ASM,2016,12843.3342903627
ASM,2017,11863.6839452565
ASM,2018,12552.0546868861
ASM,2019,12886.1359517218
ASM,2020,14489.2586563775
ASM,2021,15236.1604875571
ATG,2011,14841.9709613705
ATG,2012,15208.6569723517
ATG,2013,15050.7122765935
ATG,2014,15533.4831254394
ATG,2015,16080.6580495873
ATG,2016,16557.843174789
ATG,2017,16924.7894487758
ATG,2018,18273.4270684912
ATG,2019,18884.3729680383
ATG,2020,15360.4544160475
ATG,2021,17340.3790692554
AUS,2011,62605.600458306
AUS,2012,68072.8732340801
AUS,2013,68190.7010035651
AUS,2014,62544.0873773726
AUS,2015,56739.0265346593
AUS,2016,49888.0410842736
AUS,2017,53901.7145392154
AUS,2018,57196.4220783778
AUS,2019,54972.7017885437
AUS,2020,51791.540179984
AUS,2021,60607.7788605166
AUT,2011,51116.8953522042
AUT,2012,48250.4059142637
AUT,2013,50305.3545774973
AUT,2014,51314.9722616322
AUT,2015,43915.228020857
AUT,2016,45061.4993920192
AUT,2017,47163.7425775142
AUT,2018,51194.0749841299
AUT,2019,49885.9947355204
AUT,2020,48716.4098900349
AUT,2021,53648.7190742245
AZE,2011,7189.81869211976
AZE,2012,7495.86527658099
AZE,2013,7875.34536661549
AZE,2014,7890.84028062087
AZE,2015,5500.50364628486
AZE,2016,3880.6852276838
AZE,2017,4147.1981423222
AZE,2018,4739.7943123408
AZE,2019,4805.75371765917
AZE,2020,4229.91064904503
AZE,2021,5408.04535175023
BDI,2011,230.070577369084
BDI,2012,231.688496393569
BDI,2013,234.843045388828
