Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Afghanistan,AFG,17805098206.3141,19907329777.5872,20146416757.5987,20497128555.6972,19134221644.7325,18116572395.0772,18753456497.8159,18053222687.4126,18799444490.1128,19955929052.1496,14259995441.0759
GDP (current US$),NY.GDP.MKTP.CD,Albania,ALB,12890760315.146,12319834195.331,12776224496.9718,13228147516.1168,11386853113.0189,11861199830.8396,13019726211.7369,15379509891.7196,15585105131.0644,15241458744.8688,18032010563.7558
GDP (current US$),NY.GDP.MKTP.CD,Algeria,DZA,218331946925.304,227143746075.934,229701430292.157,238942664192.59,187493855609.345,180763839522.151,189880896903.073,194554483655.528,193459662090.677,164873415325.201,186231205262.082
GDP (current US$),NY.GDP.MKTP.CD,American Samoa,ASM,570000000,640000000,638000000,643000000,673000000,671000000,612000000,639000000,647000000,721000000,750000000
GDP (current US$),NY.GDP.MKTP.CD,Andorra,AND,3629133574.27783,3188652765.36184,3193512950.02419,3271685596.66321,2789881258.50362,2896610479.73077,3000162081.11976,3218419896.9641,3155149347.80639,2891001149.3611,3324647529.381
GDP (current US$),NY.GDP.MKTP.CD,Angola,AGO,111789747670.59,128052915766.343,132339109040.232,135966802586.713,90496420506.5957,52761617225.9253,73690154990.7312,79450688259.3664,70897962732.0277,48501561203.5686,66505129987.7235
GDP (current US$),NY.GDP.MKTP.CD,Antigua and Barbuda,ATG,1281337037.03704,1327107407.40741,1325425925.92593,1378829629.62963,1437755555.55556,1489692592.59259,1531151851.85185,1661529629.62963,1725351851.85185,1410796296.2963,1601366666.66667
GDP (current US$),NY.GDP.MKTP.CD,Argentina,ARG,530158122010.442,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557532320662.955,643628393281.364,524819892360.176,447754683615.225,385740508436.965,486564085480.036
GDP (current US$),NY.GDP.MKTP.CD,Armenia,ARM,10142111824.5835,10619320682.9474,11121464437.0415,11609513246.7958,10553337518.414,10546136235.5219,11527458709.0158,12457940694.7395,13619290539.2116,12641698583.2152,13878908628.9378
GDP (current US$),NY.GDP.MKTP.CD,Aruba,ABW,2637859217.87709,2615208379.88827,2727849720.67039,2790849720.67039,2962907262.56983,2983635195.53073,3092429050.27933,3276184357.5419,3395798882.68156,2481857122.8401,2929446578.25104
GDP (current US$),NY.GDP.MKTP.CD,Australia,AUS,1398610616772.97,1547532281116.4,1577123329410.88,1468265356427.76,1351296372254.31,1206836962281.84,1325582658156.54,1427809041019.44,1392723834562.64,1328414058378.38,1556735770437.26
GDP (current US$),NY.GDP.MKTP.CD,Austria,AUT,428954737064.057,406750487603.59,426580502769.417,438556021078.034,379546097300.633,393687359770.273,414926138132.691,452582294972.775,442983642371.842,434397601557.696,480467037338.783
GDP (current US$),NY.GDP.MKTP.CD,Azerbaijan,AZE,65952796427.9473,69679944504.1972,74160560123.6902,75239785452.1022,53076235354.746,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059
GDP (current US$),NY.GDP.MKTP.CD,"Bahamas, The",BHS,10070450000,10720400000,10395800000,10974100000,11671900000,11745100000,12236700000,12615800000,13016200000,9958200000,11368900000
GDP (current US$),NY.GDP.MKTP.CD,Bahrain,BHR,29914680851.0638,31963404255.3191,33823324468.0851,34772526595.7447,32523297872.3404,33884680851.0638,37204813829.7872,39567978723.4043,40446808510.6383,35837632978.7234,40840212765.9574
