Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Afghanistan,AFG,49.6380620251503,50.0567833137882,50.4888449766978,50.9303980666568,51.3839679093288,51.843053949596,52.2756584397329,52.6732723441847,53.0470145105464,53.4051619316696,53.7393252349501
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Albania,ALB,67.8454159774467,68.198600414295,68.3856722403311,68.4466928018412,68.4632957891861,68.473513186339,68.411252681582,68.2552118334715,68.0076096803147,67.7110196944345,67.3665631972931
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Algeria,DZA,67.5684816420113,67.3421404984508,66.9223817569513,66.3589408507156,65.7623256885407,65.1739647385905,64.587146212269,64.0409495016296,63.5858047801217,63.2634495033399,63.0690613740293
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,American Samoa,ASM,61.903070379175,62.3676338343519,62.6652594156205,62.8595743089066,63.0186466961685,63.184641445511,63.351490714535,63.509040729937,63.6389890258719,63.9620992132472,64.4418486541392
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Andorra,AND,71.8145353097721,71.8021969440612,71.7050010971693,71.665513921098,71.755561251706,71.8882262075463,72.0474495848161,72.2938452941646,72.4577794922424,72.3830447143965,72.3614948285873
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Angola,AGO,52.1221809832928,52.110643381122,52.0969806945144,52.0696201188262,52.0344151201028,52.0323838444687,52.0639319428822,52.10972051613,52.1792554940819,52.2548406993395,52.3460455098597
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Antigua and Barbuda,ATG,69.5043552796182,69.8922759569104,70.2382912524343,70.4962541542275,70.7305752217338,70.9122030921762,70.9963744086307,71.0825286496711,71.1197578901859,71.0314003876053,70.877324064148
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Argentina,ARG,63.9901889403356,64.0423079024418,64.0825562537135,64.0920281103568,64.0810849650845,64.0835958950498,64.1137437299744,64.1630568429568,64.2701694847154,64.5074745533578,64.8426321239199
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Armenia,ARM,69.9991499247162,69.877939557455,69.6400159040937,69.3383433330299,68.961951131008,68.5339571072627,68.1111272919884,67.836738214504,67.6540902691366,67.4875319646095,67.3509680096337
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Aruba,ABW,69.9067151246274,69.9961184511146,69.911025522268,69.6785895668577,69.3250915443276,68.8920853714879,68.4348414128373,67.9734478352375,67.5216668534499,67.1686817100479,66.9699139069153
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Australia,AUS,67.2186509873875,66.9662425056812,66.700299430582,66.4491289382527,66.1974159681463,65.9615614705209,65.7711179415292,65.5972081360588,65.3937724215717,65.1015714818381,64.8273784315574
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Austria,AUT,67.6180439804748,67.5601644337772,67.4266821192924,67.3108310981136,67.234719049435,67.1339749165576,66.974326831199,66.8074529749847,66.6368554183168,66.4370522356064,66.1764816581673
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Azerbaijan,AZE,72.0939429460413,72.0406993018106,71.6592530898028,71.2018299395149,70.7521032313631,70.2891585164324,69.9448498293551,69.8692138262529,69.825581884135,69.7266672756005,69.708000115884
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,"Bahamas, The",BHS,67.7715486281673,67.9851492597934,68.176396545218,68.3452437627192,68.5149599127019,68.7082131293075,68.9149391141785,69.1191505344172,69.3259888845112,69.5367709747703,69.7697623198351
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bahrain,BHR,77.3876548816303,77.8244401271723,77.7848127947515,77.0440675538981,76.9024568320374,77.3742239109572,77.608595170699,77.3842993458645,76.895078686694,76.8265235048484,77.2446859974956
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bangladesh,BGD,62.0740346987153,62.4844425603217,62.9494570158261,63.4371252223876,63.9150578117155,64.3617117778247,64.6648001467869,64.7973177686173,64.8612797816401,64.9064095313604,64.9516858651805
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Barbados,BRB,68.0094083052376,67.9879034078086,67.957430716871,67.9205526894391,67.8941897559052,67.887946065326,67.8255422581209,67.6793351157153,67.4642390405661,67.167676021839,66.8376180459442
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Belarus,BLR,71.2520882300624,70.9909034339942,70.5764717728536,70.0684624749577,69.5172848567025,68.9918011391333,68.4886180343404,68.079682439857,67.6546230933346,67.2194165637181,66.8571610783922
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Belgium,BEL,65.771386607117,65.5288562215249,65.2910824069226,65.0395058250497,64.8430252778753,64.6607620134318,64.4426328280277,64.2447525310394,64.0794211416653,63.9755896544114,63.8651840723626
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Belize,BLZ,61.2875727929899,62.03986675199,62.7488459635802,63.4305612277798,64.0869635986563,64.7671405656627,65.38666109327,65.8339174150145,66.2083023934209,66.6198410231019,67.0852024742852
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Benin,BEN,53.1738379185632,53.2872357685967,53.3802257734234,53.4710165776466,53.5644826221245,53.6566169066319,53.7641385473821,53.9063205647746,54.0897463650396,54.3068570880759,54.5541005696013
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bermuda,BMU,69.4833875965951,69.0954655437891,68.8415770722078,68.7245195107746,68.5882436361058,68.2931826599526,67.9113222237077,67.5604330184393,67.1486733118068,66.6886707464819,66.2224662789259
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bhutan,BTN,65.967954980215,66.3908560052253,66.7395587592534,67.0640444281068,67.4120801816861,67.7742403050814,68.3439508599965,69.1310007515541,69.9085018252565,70.6085407126698,71.2031146127722
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bolivia,BOL,60.4436748962139,60.7689737934521,61.0995583241264,61.4525672376484,61.8000754445988,62.1216939737896,62.42532837796,62.7195359063944,63.0065128086121,63.326175000896,63.6895244714713
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bosnia and Herzegovina,BIH,69.1344333839552,69.0044599438137,68.9007380238331,68.7408428286462,68.4674654164134,68.1126823098051,67.6985985141523,67.2051520519634,66.6702435755379,66.193927015007,65.8403513813568
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Botswana,BWA,62.576267720648,62.4265721149389,62.2125420280681,62.1027474581546,62.0886517467422,62.1749030271721,62.3471212270271,62.5862659140957,62.8846829208051,63.2353062384254,63.545526112348
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Brazil,BRA,68.8890267559546,69.1357813616712,69.3600959635388,69.5321464348522,69.6409897160951,69.7156525862543,69.7489521976535,69.7196181499875,69.6671137738846,69.6446402012395,69.6182628596073
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,British Virgin Islands,VGB,72.4050853361198,72.8851540616247,73.2663586039396,73.5195073114495,73.7531705196029,73.727787944979,73.7040888100554,74.1047984534149,74.4343238676174,74.6785334392546,74.9375157037253
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Brunei Darussalam,BRN,71.325789300393,71.5334361550117,71.7757938920531,72.023548861969,72.2660325453002,72.4604971419483,72.6002375384729,72.6994274907237,72.7649769585253,72.7870926356186,72.7380094549616
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bulgaria,BGR,67.9655488971921,67.4917027281691,66.9753508090845,66.4196171095264,65.8828672924077,65.3990271954816,64.9588436261308,64.5280031853111,64.1335371141353,63.8814581406739,63.8135029889597
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Burkina Faso,BFA,51.6697037338101,51.6719555176314,51.7114608653578,51.7927902530963,51.9206377296387,52.0971154917605,52.3179781131451,52.5907037810603,52.9380433430521,53.3844208698114,53.904178280731
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Burundi,BDI,52.3536120374012,52.0409461695939,51.7106229076444,51.3816362371271,50.7329704786026,50.0141465984415,49.7345082830426,49.8778863700716,50.2513129688442,50.6081895938159,51.0189922371954
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cabo Verde,CPV,63.8459741145946,64.647967106484,65.2871296793401,65.7685397271852,66.0728522122158,66.1794989605983,66.1254881622483,65.9876513152128,65.8103224250346,65.6218093007396,65.871800777704
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cambodia,KHM,63.2302352630489,63.4508648344635,63.5353273842827,63.5438832095417,63.5016253499872,63.4382071107551,63.387132974116,63.3798695709733,63.4032719741108,63.483461320243,63.6239992263601
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Cameroon,CMR,53.363960757113,53.4430044043765,53.5503581471515,53.7621895990157,53.994740112473,54.1334317153056,54.2143740534314,54.311618102486,54.4719742477239,54.6793776767362,54.9180882270139
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Canada,CAN,69.148336286437,68.8517946416003,68.4998731704546,68.1358280352841,67.7571212622664,67.3902081027321,67.0699290855306,66.7853309042324,66.4846890068848,66.1382867429556,65.7746528539238
